,ID,Mach No,Angle of Attack,Lift Coefficient,Drag Coefficient,Airfoil_type
0,DP 0,0.7,1,0.28416,0.026788971,c5a
1,DP 1,0.72,1,0.29094595,0.027888046,c5a
2,DP 2,0.74,1,0.29952479,0.02931221,c5a
3,DP 3,0.76,1,0.31067285,0.031425153,c5a
4,DP 4,0.78,1,0.32391546,0.03534835,c5a
5,DP 5,0.8,1,0.32795635,0.042358781,c5a
6,DP 6,0.82,1,0.30313492,0.052141277,c5a
7,DP 7,0.84,1,0.2418303,0.064578381,c5a
8,DP 8,0.86,1,0.15180554,0.080197068,c5a
9,DP 9,0.88,1,0.075800985,0.098682516,c5a
10,DP 10,0.9,1,0.068339071,0.11863905,c5a
11,DP 11,0.92,1,0.081365385,0.13622554,c5a
12,DP 12,0.94,1,0.072899662,0.14218449,c5a
13,DP 13,0.96,1,0.069534194,0.1402029,c5a
14,DP 14,0.98,1,0.066996075,0.13818064,c5a
15,DP 15,1,1,,,c5a
16,DP 16,1.02,1,0.063346184,0.13446732,c5a
17,DP 17,1.04,1,0.061902686,0.13279201,c5a
18,DP 18,1.06,1,0.060635509,0.13121415,c5a
19,DP 19,1.08,1,0.059591251,0.12973471,c5a
20,DP 20,1.1,1,0.058838074,0.12836597,c5a
21,DP 21,1.12,1,0.058438115,0.12711975,c5a
22,DP 22,1.14,1,0.058616819,0.12597188,c5a
23,DP 23,1.16,1,0.059552082,0.12497027,c5a
24,DP 24,1.18,1,0.061046188,0.12407901,c5a
25,DP 25,1.2,1,0.062779971,0.12312273,c5a
26,DP 26,1.22,1,0.064839457,0.12194861,c5a
27,DP 27,1.24,1,0.066751224,0.12052111,c5a
28,DP 28,1.26,1,0.067466741,0.1192836,c5a
29,DP 29,1.28,1,0.065629634,0.11879679,c5a
30,DP 30,1.3,1,0.061756226,0.11875161,c5a
31,DP 31,1.32,1,0.058238158,0.11858915,c5a
32,DP 32,1.34,1,0.05622379,0.11813501,c5a
33,DP 33,1.36,1,0.054810673,0.11750315,c5a
34,DP 34,1.38,1,0.053473784,0.11677306,c5a
35,DP 35,1.4,1,0.052101032,0.11599043,c5a
36,DP 0,0.7,2,0.41720233,0.031487015,c5a
37,DP 1,0.72,2,0.42864458,0.032936166,c5a
38,DP 2,0.74,2,0.44354244,0.034976549,c5a
39,DP 3,0.76,2,0.46119193,0.038656346,c5a
40,DP 4,0.78,2,0.47503435,0.045301432,c5a
41,DP 5,0.8,2,0.46716207,0.054163656,c5a
42,DP 6,0.82,2,0.43078871,0.063620884,c5a
43,DP 7,0.84,2,0.36621678,0.074105659,c5a
44,DP 8,0.86,2,0.2750396,0.087214368,c5a
45,DP 9,0.88,2,0.18385783,0.10339411,c5a
46,DP 10,0.9,2,0.16703102,0.12271802,c5a
47,DP 11,0.92,2,0.18232331,0.14040319,c5a
